FlightDate,Airline,Origin,Dest,ArrDelay,DepDelay,Cancelled,Distance
2018-12-07,NK,MYR,LGA,-21.0,-13.0,False,563.0

2018-09-25,B6,OAK,LGB,-22.0,-13.0,False,353.0

2018-02-28,YX,CMH,ORD,-14.0,-13.0,False,296.0

2018-09-26,MQ,PNS,DFW,-30.0,-13.0,False,604.0

2018-11-26,YX,EYW,MIA,-17.0,-13.0,False,125.0

2018-07-26,EV,LGA,CLE,-23.0,-13.0,False,419.0

2018-08-27,AX,DCA,PVD,0.0,-13.0,False,356.0

2018-11-13,OH,GPT,CLT,-6.0,-13.0,False,577.0

2018-10-30,OO,DEN,PUB,-17.0,-13.0,False,109.0

2018-01-31,OO,SFO,SBP,-16.0,-13.0,False,190.0

2018-07-21,UA,CLE,ORD,-16.0,-13.0,False,316.0

2018-09-20,B6,STX,SJU,-16.0,-13.0,False,94.0

2018-12-14,F9,MKE,DEN,-19.0,-13.0,False,896.0

2018-07-15,NK,PDX,LAS,-13.0,-13.0,False,763.0

2018-01-17,OO,FAT,PDX,-27.0,-13.0,False,626.0

2018-06-08,G4,PIE,CHA,-6.0,-13.0,False,513.0

2018-12-13,AA,DEN,CLT,-10.0,-13.0,False,1337.0

2018-12-12,YV,BUR,PHX,-8.0,-13.0,False,369.0

2018-08-13,EV,HDN,IAH,-8.0,-13.0,False,985.0

2018-01-16,DL,ICT,ATL,-22.0,-13.0,False,782.0

2018-05-04,HA,HNL,LIH,-15.0,-13.0,False,102.0

2018-12-17,OO,RNO,LAX,-31.0,-13.0,False,391.0

2018-05-31,UA,ORD,MDT,4.0,-13.0,False,594.0

2018-07-02,UA,ORD,LAX,-20.0,-13.0,False,1744.0

2018-12-22,YX,MHT,DCA,-26.0,-13.0,False,406.0

2018-09-10,C5,GRR,EWR,-19.0,-13.0,False,605.0

2018-09-19,UA,CLE,IAH,-6.0,-13.0,False,1091.0

2018-05-15,EV,HOB,IAH,-6.0,-13.0,False,501.0

2018-06-26,G7,BGR,ORD,38.0,-13.0,False,978.0

2018-10-26,EV,HOB,IAH,-16.0,-13.0,False,501.0

2018-08-26,YV,ONT,PHX,-12.0,-13.0,False,325.0

2018-09-15,C5,SAV,EWR,5.0,-13.0,False,708.0

2018-04-25,UA,IAH,SFO,-19.0,-13.0,False,1635.0

2018-12-05,F9,MCO,DTW,1.0,-13.0,False,957.0

2018-09-11,UA,ORD,RDU,-19.0,-13.0,False,646.0

2018-04-12,AS,SJC,OGG,-20.0,-13.0,False,2355.0

2018-09-19,AS,JNU,PSG,-17.0,-13.0,False,123.0

2018-04-17,G7,IAH,MSP,-38.0,-13.0,False,1034.0

2018-12-19,UA,PWM,EWR,-28.0,-13.0,False,284.0

2018-11-14,F9,MCI,DEN,-26.0,-13.0,False,533.0

2018-04-02,ZW,BUF,IAD,-15.0,-13.0,False,283.0

2018-11-22,B6,FLL,SLC,-10.0,-12.0,False,2084.0

2018-10-08,EM,LNY,HNL,-13.0,-12.0,False,72.0

2018-04-29,DL,MEM,ATL,-12.0,-12.0,False,332.0

2018-03-27,B6,BOS,LGA,-31.0,-12.0,False,184.0

2018-07-24,UA,LGA,ORD,-1.0,-12.0,False,733.0

2018-05-02,KS,ANC,DUT,7.0,-12.0,False,792.0

2018-04-26,OO,BOI,DEN,13.0,-12.0,False,649.0

2018-08-28,G4,PGD,FWA,-20.0,-12.0,False,986.0

2018-11-24,F9,TPA,PHL,-24.0,-12.0,False,920.0

2018-08-22,AA,ORD,MIA,32.0,-12.0,False,1197.0

2018-12-12,B6,BUR,BOS,-9.0,-12.0,False,2601.0

2018-05-09,NK,MYR,ORD,-31.0,-12.0,False,753.0

2018-08-28,F9,ORD,MCO,-14.0,-12.0,False,1005.0

2018-09-18,UA,PHX,ORD,-23.0,-12.0,False,1440.0

2018-03-17,ZW,MKE,ORD,-15.0,-12.0,False,67.0

2018-08-04,EV,SAF,DFW,-11.0,-12.0,False,551.0

2018-08-24,EV,MHK,DFW,-15.0,-12.0,False,431.0

2018-10-22,9E,DSM,DTW,-29.0,-12.0,False,534.0

2018-09-11,AA,PBI,CLT,-20.0,-12.0,False,590.0

2018-01-18,DL,FLL,JFK,-25.0,-12.0,False,1069.0

2018-08-04,OO,SAN,LAX,-19.0,-12.0,False,109.0

2018-05-13,QX,ABQ,SEA,-10.0,-12.0,False,1180.0

2018-03-02,YV,BNA,IAH,-5.0,-12.0,False,657.0

2018-01-10,CP,LAX,PDX,-12.0,-12.0,False,834.0

2018-02-03,B6,JFK,SAV,-14.0,-12.0,False,718.0

2018-01-31,VX,SFO,SEA,13.0,-12.0,False,679.0

2018-02-02,B6,LGB,FLL,-15.0,-12.0,False,2327.0

2018-05-13,AS,PHX,SEA,-19.0,-12.0,False,1107.0

2018-10-24,OO,GNV,ATL,-16.0,-12.0,False,300.0

2018-12-30,NK,LAS,DFW,-14.0,-12.0,False,1055.0

2018-04-14,DL,ANC,SEA,-20.0,-12.0,False,1448.0

2018-02-26,OO,SBA,DEN,-14.0,-12.0,False,916.0

2018-10-17,B6,FLL,RIC,-26.0,-12.0,False,805.0

2018-03-04,QX,MFR,PDX,-13.0,-12.0,False,222.0

2018-04-11,ZW,SAV,ORD,-8.0,-12.0,False,773.0

2018-09-27,YX,HHH,CLT,-7.0,-12.0,False,207.0

2018-01-24,NK,TPA,ATL,-14.0,-12.0,False,406.0

2018-09-12,YX,CVG,EWR,-15.0,-12.0,False,569.0

2018-09-16,AS,LAX,DAL,-18.0,-12.0,False,1246.0

2018-04-22,DL,SLC,AUS,-16.0,-12.0,False,1086.0

2018-10-02,MQ,BTV,ORD,-21.0,-12.0,False,763.0

2018-11-21,EV,ICT,IAH,-19.0,-12.0,False,542.0

2018-06-17,EV,EWR,MKE,-32.0,-12.0,False,725.0

2018-08-08,HA,KOA,HNL,-15.0,-12.0,False,163.0

2018-11-12,AS,SEA,DEN,-18.0,-12.0,False,1024.0

2018-09-05,YX,LGA,DCA,-33.0,-12.0,False,214.0

2018-01-08,UA,DFW,DEN,-7.0,-12.0,False,641.0

2018-04-23,UA,CID,DEN,-20.0,-12.0,False,692.0

2018-01-18,UA,DFW,ORD,-22.0,-12.0,False,802.0

2018-04-16,B6,CLE,BOS,-4.0,-12.0,False,563.0

2018-12-04,AA,BWI,CLT,-10.0,-12.0,False,361.0

2018-06-27,YX,OKC,ORD,-23.0,-12.0,False,693.0

