FlightDate,Airline,Origin,Dest,ArrDelay,DepDelay,Cancelled,Distance
2018-09-20,UA,PBI,EWR,-17.0,-10.0,False,1023.0

2018-05-02,B6,FLL,BOS,-11.0,-10.0,False,1237.0

2018-11-29,9E,GTR,ATL,-8.0,-10.0,False,241.0

2018-01-11,9E,TYS,DTW,-34.0,-10.0,False,443.0

2018-09-11,YX,DCA,HSV,-13.0,-10.0,False,613.0

2018-10-02,MQ,ORD,IND,-14.0,-10.0,False,177.0

2018-06-16,YX,EWR,BTV,-27.0,-10.0,False,266.0

2018-06-22,UA,ORD,LAX,-22.0,-10.0,False,1744.0

2018-06-04,F9,PHL,OMA,-20.0,-10.0,False,1088.0

2018-09-14,OO,ORD,DCA,-4.0,-10.0,False,612.0

